,oil,gas,dp
164066,33961.46704,212.10920000000002,2145.120212228988
87548,33958.81304000001,212.09074,2144.337068265015
107231,33958.81304000001,212.09074,2144.337068265015
109418,33958.81304000001,212.09074,2144.3370682723016
89735,33958.81304000001,212.09074,2144.3370682723016
107204,33958.69304000001,212.09018999999998,2144.346520243549
87521,33958.69304000001,212.09018999999998,2144.346520243549
89708,33958.69304000001,212.09018999999998,2144.3466202414115
109391,33958.69304000001,212.09018999999998,2144.3466202414115
146597,33958.089040000006,212.08736000000002,2144.3820050614363
148784,33958.089040000006,212.08736000000002,2144.3810040622084
166280,33958.089040000006,212.08736000000002,2144.3820050614363
168467,33958.089040000006,212.08736000000002,2144.3810040622084
166253,33957.74704,212.0856,2144.401892287955
168440,33957.74704,212.0856,2144.401892295684
146570,33957.74704,212.0856,2144.401892287955
148757,33957.74704,212.0856,2144.401892295684
64530,33874.61702,206.059345,1821.5737638605153
60156,33874.60602,206.05932900000002,1821.572733791386
62343,33874.60602,206.05932900000002,1821.5727337778594
118408,33856.60604,210.62462699999998,2139.4061471948626
142465,33851.24304,210.582212,2138.7153469
162148,33851.24304,210.582212,2138.7153469
140278,33851.14504,210.58176099999997,2138.6870599
159961,33851.14504,210.58176099999997,2138.6870599
122782,33851.05404000001,210.58813299999997,2138.4261633
120595,33851.053040000006,210.58813299999997,2138.4260532999997
138091,33851.032040000006,210.58095099999997,2138.6659659
157774,33851.032040000006,210.58095099999997,2138.6659659
5238,33850.62604000001,211.595737,1961.2929424989788
864,33850.59304000001,211.595706,1961.2908922332992
3051,33850.59304000001,211.595706,1961.291892229158
164372,33849.56835000001,220.43974302,2293.1346643794964
144689,33849.56835000001,220.43974302,2293.1346643794964
122603,33848.67865000001,213.493931,2180.4517291
145206,33824.82404000001,209.82719999999998,2152.1662373
164889,33824.82404000001,209.82719999999998,2152.1662373
169263,33824.81504000001,209.82699999999997,2152.1653273
149580,33824.81504000001,209.82699999999997,2152.1653273
167076,33824.814040000005,209.82699999999997,2152.1619772999998
147393,33824.814040000005,209.82699999999997,2152.1619772999998
3296,33804.25804,210.79162,2141.226453135312
5483,33804.25804,210.79162,2141.224443179585
1109,33804.25804,210.79162,2141.224443179646
1055,33804.15404000001,210.79113999999998,2141.233217039783
3242,33804.15404000001,210.79113999999998,2141.235227029708
5429,33804.15404000001,210.79113999999998,2141.2332170399172
121394,33803.60304000001,210.78848,2141.2657110421615
119207,33803.59304000001,210.78848,2141.264691055919
123581,33803.583040000005,210.78848,2141.2625910566667
121340,33803.28504,210.78711000000004,2141.285760143781
123527,33803.27504000001,210.78711000000004,2141.2836301902375
119153,33803.27504000001,210.78711000000004,2141.283730190191
123336,33791.123540000015,215.09357450000002,2161.610167375698
121149,33791.10244000001,215.0934444,2161.604788391448
118962,33791.10174000001,215.09353380000002,2161.6080563684927
31644,33789.512030000005,208.5269309,1800.346344486303
51327,33789.512030000005,208.5269309,1800.346344486303
46953,33789.47903,208.526906,1800.3432941182784
27270,33789.47903,208.526906,1800.3432941182784
29457,33789.47903,208.5269059,1800.3431941039767
49140,33789.47903,208.5269059,1800.3431941039767
105286,33771.693040000006,211.52301,1946.670800547897
85603,33771.693040000006,211.52301,1946.670800547897
109660,33771.69004,211.52301300000002,1946.6695706106605
89977,33771.69004,211.52301300000002,1946.6695706106605
107473,33771.68304,211.52301,1946.668560485668
87790,33771.68304,211.52301,1946.668560485668
63571,33755.788130000015,209.2236498,1803.1274391361358
61384,33755.75523000001,209.22362481000002,1803.1243887677683
59197,33755.75513000001,209.2236248,1803.1243887538096
83254,33748.00293,209.13923950000003,1803.3650532059996
102937,33748.00293,209.13923950000003,1803.3650532059996
98563,33747.99693,209.13923650000004,1803.3632779460997
